release_date,title,production_budget,domestic_gross_tn,worldwide_gross,domestic_gross_bom,foreign_gross,rating_tmdb,release_month,profit,roi,movie_id,primary_title,runtime_minutes,genres,rating_imdb,numvotes,original_title,rating,critic_score,id,studio,year
2011-03-04,The Adjustment Bureau,50200000.0,62495645.0,126931325.0,62500000.0,65400000,6.6,Mar,76731325.0,1.5285124501992031,tt1385826,The Adjustment Bureau,106.0,"romance, sci-fi, thriller",7.1,227616.0,The Adjustment Bureau,6.85,,81,Uni.,2011
2012-06-29,Ted,50000000.0,218665740.0,556016627.0,218800000.0,330600000,6.3,Jun,506016627.0,10.12033254,tt1637725,Ted,106.0,"comedy, fantasy",6.9,538367.0,Ted,6.6,,84,Uni.,2012
2014-06-13,22 Jump Street,50000000.0,191719337.0,331333876.0,191700000.0,139600000,6.9,Jun,281333876.0,5.62667752,tt2294449,22 Jump Street,112.0,"action, comedy, crime",7.0,319504.0,22 Jump Street,6.95,,85,Sony,2014
2016-06-17,Central Intelligence,50000000.0,127440871.0,217194805.0,127400000.0,89500000,6.3,Jun,167194805.0,3.3438961,tt1489889,Central Intelligence,107.0,"action, comedy, crime",6.3,138872.0,Central Intelligence,6.3,,91,WB (NL),2016
2013-12-18,Anchorman 2: The Legend Continues,50000000.0,127352707.0,172185754.0,125200000.0,46300000,6.1,Dec,122185754.0,2.44371508,tt1229340,Anchorman 2: The Legend Continues,119.0,comedy,6.3,156116.0,Anchorman 2: The Legend Continues,6.199999999999999,,92,Par.,2013
2011-06-10,Super 8,50000000.0,127004179.0,257972745.0,127000000.0,133100000,6.7,Jun,207972745.0,4.1594549,tt1650062,Super 8,112.0,"mystery, sci-fi, thriller",7.0,320575.0,Super 8,6.85,,93,Par.,2011
2018-11-21,Creed II,50000000.0,115715889.0,213591522.0,115700000.0,98300000,6.7,Nov,163591522.0,3.27183044,tt6343314,Creed II,130.0,"drama, sport",7.2,72503.0,Creed II,6.95,,96,MGM,2018
2018-02-09,Peter Rabbit,50000000.0,115234093.0,347136477.0,115300000.0,236000000,6.5,Feb,297136477.0,5.94272954,tt5117670,Peter Rabbit,95.0,"adventure, animation, comedy",6.6,27908.0,Peter Rabbit,6.55,,97,Sony,2018
2018-12-14,The Mule,50000000.0,103804407.0,170857676.0,103800000.0,68700000,6.4,Dec,120857676.0,2.41715352,tt0804509,The Mule,100.0,"comedy, drama",6.2,653.0,The Mule,6.7,7.5,100,WB,2018
2018-12-14,The Mule,50000000.0,103804407.0,170857676.0,103800000.0,68700000,6.4,Dec,120857676.0,2.41715352,tt2130270,The Mule,103.0,"comedy, crime, drama",6.3,5788.0,The Mule,6.733333333333333,7.5,100,WB,2018
2018-12-14,The Mule,50000000.0,103804407.0,170857676.0,103800000.0,68700000,6.4,Dec,120857676.0,2.41715352,tt7959026,The Mule,116.0,"crime, drama, thriller",7.1,58955.0,The Mule,7.0,7.5,100,WB,2018
2014-02-28,Non-Stop,50000000.0,91742160.0,222383055.0,92200000.0,130600000,5.6,Feb,172383055.0,3.4476611,tt2024469,Non-Stop,106.0,"action, mystery, thriller",7.0,234717.0,Non-Stop,6.3,,2,Uni.,2014
2017-07-28,The Emoji Movie,50000000.0,86089513.0,216562312.0,86100000.0,131699999,5.4,Jul,166562312.0,3.33124624,tt4877122,The Emoji Movie,86.0,"adventure, animation, comedy",3.2,47294.0,The Emoji Movie,4.300000000000001,,7,Sony,2017
2017-12-22,The Post,50000000.0,81903458.0,179748880.0,81900000.0,97900000,7.0,Dec,129748880.0,2.5949776,tt6294822,The Post,116.0,"biography, drama, history",7.2,108017.0,The Post,7.1,,9,Fox,2017
2011-12-23,We Bought a Zoo,50000000.0,75624550.0,118729073.0,75600000.0,44500000,6.7,Dec,68729073.0,1.37458146,tt1389137,We Bought a Zoo,124.0,"comedy, drama, family",7.1,126849.0,We Bought a Zoo,7.266666666666667,8.0,14,Fox,2011
2011-09-23,Moneyball,50000000.0,75605492.0,111300835.0,75600000.0,34600000,7.1,Sep,61300835.0,1.2260167,tt1210166,Moneyball,133.0,"biography, drama, sport",7.6,326657.0,Moneyball,7.35,,15,Sony,2011
2012-04-06,American Reunion,50000000.0,56758835.0,236799211.0,57000000.0,178000000,6.2,Apr,186799211.0,3.73598422,tt1605630,American Reunion,113.0,comedy,6.7,192250.0,American Reunion,6.45,,26,Uni.,2012
2017-09-29,American Made,50000000.0,51342000.0,135569212.0,51300000.0,83500000,6.7,Sep,85569212.0,1.71138424,tt3532216,American Made,115.0,"action, biography, comedy",7.2,131043.0,American Made,6.95,,32,Uni.,2017
2014-10-10,The Judge,50000000.0,47119388.0,76119388.0,47100000.0,37300000,7.3,Oct,26119388.0,0.52238776,tt1872194,The Judge,141.0,"crime, drama",7.4,162952.0,The Judge,7.35,,41,WB,2014
2014-10-10,The Judge,50000000.0,47119388.0,76119388.0,47100000.0,37300000,7.3,Oct,26119388.0,0.52238776,tt6246092,The Judge,76.0,documentary,7.3,84.0,The Judge,7.3,,41,WB,2014
2016-08-19,War Dogs,50000000.0,43034523.0,86234503.0,43000000.0,43200000,6.8,Aug,36234503.0,0.72469006,tt2005151,War Dogs,114.0,"comedy, crime, drama",7.1,154029.0,War Dogs,6.949999999999999,,45,WB,2016
2016-05-20,The Nice Guys,50000000.0,36261763.0,59596747.0,36300000.0,26500000,7.1,May,9596747.0,0.19193494,tt3799694,The Nice Guys,116.0,"action, comedy, crime",7.4,240337.0,The Nice Guys,7.25,,56,WB,2016
2010-06-04,Marmaduke,50000000.0,33644788.0,89895930.0,33600000.0,50100000,5.1,Jun,39895930.0,0.7979186,tt1392197,Marmaduke,87.0,"comedy, family",4.2,13283.0,Marmaduke,4.65,,59,Fox,2010
2010-10-15,Hereafter,50000000.0,32746941.0,108660270.0,32700000.0,72500000,5.9,Oct,58660270.0,1.1732054,tt1212419,Hereafter,129.0,"drama, fantasy, romance",6.5,87288.0,Hereafter,4.8,2.0,61,WB,2010
